identifiant,metier,competences
147hbgw,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
140blfr,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . travail en équipe . autonomie"
140txdw,administrateur systèmes et réseaux informatique,autonomie . rigueur . réactivité
141ytzz,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . sens de le organisation . rigueur"
144ghjr,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . système de exploitation linux . système de exploitation windows . système réseau lan , man , wan . réactivité . travail en équipe . rigueur"
144pwlf,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145dwdl,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145jqqc,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . travail en équipe . rigueur"
145mbrg,administrateur systèmes et réseaux informatique,"gestion de projet . intégrer un script . rédiger un script . système de exploitation informatique vmware virtualisation de architecture . actualiser le système de information en fonction de évolution . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place de outil de aide à le surveillance , à le sécurité et à le exploitation de équipement informatique . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . système de exploitation linux . force de proposition . travail en équipe . autonomie"
145mbyp,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . autonomie . rigueur"
145pvbk,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . améliorer un système de information . analyser le performance de un système de information . capacité de adaptation . autonomie . rigueur"
145qpgj,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . autonomie . rigueur"
145rxgr,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . travail en équipe . rigueur"
145zxmt,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . force de proposition . sens de le communication"
146cbdn,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . réactivité . autonomie . rigueur"
146frnf,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . autonomie . rigueur"
146gvzc,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146jjxg,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . système de exploitation linux . force de proposition . autonomie . rigueur"
146jplx,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146kyvj,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146mvty,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146ntvf,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . réactivité . travail en équipe . sens de le communication"
146pphb,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . système de exploitation linux . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . force de proposition . travail en équipe . autonomie"
146pwpz,administrateur systèmes et réseaux informatique,"environnement microsoft 365 . equipement alcatel entreprise . pare-feu stormshield . script powershell . actualiser le système de information en fonction de évolution . administrer un système de information si . attribuer un ressource logique et matériel de réseau . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . paramétrage de logiciel . solution antispam vad . téléphonie sur ip alcatel oxe et rainbow . travail en équipe . autonomie . sens de le organisation"
146qqmq,administrateur systèmes et réseaux informatique,analyser le besoin de un projet . concevoir le architecture de un système de information . concevoir le solution technique . définir le caractéristique technique de produit . évaluer le résultat de son action . force de proposition . autonomie . rigueur
146rcwq,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146tsxv,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
146vgxg,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . curiosité . réactivité . rigueur"
